Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,CP_Radial_D4.0mm_P1.50mm,170.688,-142.621,180,top
C2,10uF,CP_Radial_D7.5mm_P2.50mm,168.021,-136.797394,90,top
C3,10uF,CP_Radial_D7.5mm_P2.50mm,193.910606,-128.778,0,top
C4,47uF,CP_Radial_D10.0mm_P2.50mm,177.586,-123.444,0,top
C5,10uF,CP_Radial_D4.0mm_P1.50mm,185.42,-129.262,90,top
C6,44uF,CP_Radial_D8.0mm_P5.00mm,171.947651,-125.984,180,top
C7,100nF,CP_Radial_D4.0mm_P1.50mm,149.137401,-123.19,0,top
C8,10uF,CP_Radial_D7.5mm_P2.50mm,159.784394,-125.095,180,top
C9,22uF,CP_Radial_D7.5mm_P2.50mm,160.02,-133.35,180,top
C10,22uF,CP_Radial_D7.5mm_P2.50mm,158.623,-143.089,90,top
C11,22uF,CP_Radial_D7.5mm_P2.50mm,149.079606,-141.859,0,top
C12,10uF,CP_Radial_D4.0mm_P1.50mm,143.676401,-123.444,0,top
C13,10uF,CP_Radial_D4.0mm_P1.50mm,143.661,-128.397,0,top
C14,10uF,CP_Radial_D4.0mm_P1.50mm,144.653,-132.485,-90,top
C15,100nF,CP_Radial_D4.0mm_P1.50mm,145.8235,-107.085,-90,top
C16,22uF,CP_Radial_D5.0mm_P2.00mm,158.711388,-99.06,0,top
C17,22uF,CP_Radial_D5.0mm_P2.00mm,156.425388,-106.045,0,top
C18,10uF,CP_Radial_D4.0mm_P1.50mm,151.5385,-101.473,0,top
C19,100nF,CP_Radial_D4.0mm_P1.50mm,179.998401,-92.583,0,top
C20,100nF,CP_Radial_D4.0mm_P1.50mm,172.593,-97.306,-90,top
C21,0.1uF,CP_Radial_D4.0mm_P1.50mm,159.385,-90.511599,90,top
C22,0.1uF,CP_Radial_D4.0mm_P1.50mm,144.819401,-102.489,0,top
C23,0.1uF,CP_Radial_D4.0mm_P1.50mm,161.544,-93.242,-90,top
C24,2.2uF,CP_Radial_D4.0mm_P1.50mm,175.871,-89.154,180,top
C25,2.2uF,CP_Radial_D4.0mm_P1.50mm,178.308,-80.2246,90,top
C26,1uf,CP_Radial_D4.0mm_P1.50mm,159.639,-112.498,90,top
C27,1uf,CP_Radial_D4.0mm_P1.50mm,165.189,-112.498,90,top
C28,1uf,CP_Radial_D4.0mm_P1.50mm,170.739,-112.498,90,top
C29,10uf,CP_Radial_D4.0mm_P1.50mm,176.289,-112.498,90,top
C30,100nF,CP_Radial_D4.0mm_P1.50mm,181.839,-112.498,90,top
C31,100nF,CP_Radial_D4.0mm_P1.50mm,181.737,-107.418,90,top
C32,100nF,CP_Radial_D4.0mm_P1.50mm,165.227,-107.7836,90,top
C33,100nF,CP_Radial_D4.0mm_P1.50mm,170.561,-107.7836,90,top
C34,100nF,CP_Radial_D4.0mm_P1.50mm,176.276,-107.7836,90,top
C35,100nF,CP_Radial_D4.0mm_P1.50mm,148.717,-78.435,0,top
C36,6.8pF,CP_Radial_D4.0mm_P1.50mm,148.717,-83.985,0,top
C37,6.8pF,CP_Radial_D4.0mm_P1.50mm,148.717,-89.535,0,top
Card1,SD-CARD,TF-SMD_TF-01A,192.677,-75.567,90,top
D1,LED,LED_2512_6332Metric_Pad1.52x3.35mm_HandSolder,175.133,-142.6815,-90,top
J1,Screw_Terminal_01x02,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,138.049,-117.983,-90,top
L1,1uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,174.625,-132.08,90,top
L2,1.5uh,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,153.289,-126.492,-90,top
L3,5.6uH,L_01005_0402Metric,152.5545,-105.156,0,top
L4,FCM1608KF-601T03,L0603,175.387,-76.835,-90,top
R2,5.1k,R_1812_4532Metric,138.811,-105.8545,0,top
R3,5.1k,R_1812_4532Metric,139.7,-90.4875,0,top
R4,10k,R_1812_4532Metric,186.817,-139.065,0,top
R5,10K,R_1812_4532Metric,142.708311,-140.987,0,top
R6,30.1k,R_2512_6332Metric,188.722,-123.444,180,top
R7,5.23k,R_1812_4532Metric,188.070304,-118.605,180,top
R8,10k,R_1812_4532Metric,186.817,-134.747,180,top
R9,10k,R_1812_4532Metric,180.594,-144.907,0,top
R10,10k,R_1812_4532Metric,199.644,-144.907,0,top
R11,10k,R_1812_4532Metric,193.167,-144.907,0,top
R12,10k,R_1812_4532Metric,186.817,-144.907,0,top
R13,10K,R_1812_4532Metric,151.511,-134.747,-90,top
R14,100k,R_2816_7142Metric,148.3635,-113.157,0,top
R15,22.1k,R_2010_5025Metric,155.4755,-112.268,90,top
R16,4.7 k,R_1812_4532Metric,147.828,-96.774,90,top
R17,4.7 k,R_1812_4532Metric,152.146,-96.139,90,top
R18,10K,R_1812_4532Metric,174.625,-71.882,-90,top
R19,10K,R_1812_4532Metric,189.23,-92.71,0,top
R20,10K,R_1812_4532Metric,189.357,-87.757,0,top
R21,10K,R_1812_4532Metric,195.072,-90.17,90,top
R22,10K,R_1812_4532Metric,180.721,-75.184,0,top
R23,10K,R_1812_4532Metric,184.277,-80.9205,90,top
R24,10k,R_1812_4532Metric,164.084,-72.39,0,top
