Designator,Mid X,Mid Y,Rotation,Layer
C1,140.0,-105.45,90.0,top
C10,190.215338,-120.55,180.0,top
C11,189.811363,-102.15,180.0,top
C12,170.3,-121.0,90.0,top
C13,176.85,-121.0,90.0,top
C14,183.4,-121.0,90.0,top
C15,143.675,-122.275,270.0,top
C16,135.675,-129.025,180.0,top
C17,144.975,-132.780113,90.0,top
C18,144.875,-127.025,90.0,top
C19,183.1726,-98.4,0.0,top
C2,146.0,-104.5,0.0,top
C20,179.6226,-98.6,180.0,top
C21,170.3,-108.7,90.0,top
C22,170.2,-102.4774,270.0,top
C23,156.3,-104.2,0.0,top
C24,171.0303299141101,-88.7303299141101,135.0,top
C25,166.1303299141101,-73.9196700858899,225.0,top
C26,159.95,-115.19,0.0,top
C27,159.95,-118.2,0.0,top
C28,159.95,-121.21,0.0,top
C29,162.39289278118656,-109.50710721881345,45.0,top
C3,130.5,-93.0,90.0,top
C30,160.0,-123.49,0.0,top
C31,167.001992,-114.348008,45.0,top
C32,154.1,-110.85,0.0,top
C33,154.1,-116.4,0.0,top
C34,154.075,-121.95,0.0,top
C35,148.778249,-94.071751,45.0,top
C36,149.528249,-82.028249,315.0,top
C37,147.921751,-83.671751,135.0,top
C4,132.0,-117.5,90.0,top
C5,137.5,-113.044888,270.0,top
C6,146.0,-112.5,0.0,top
C7,181.0,-114.75,90.0,top
C8,190.155113,-114.4,180.0,top
C9,189.74375,-107.85,180.0,top
CARD1,137.1875,-73.8,270.0,top
D1,140.95,-99.4375,90.0,top
J1,131.5,-86.23,270.0,top
J2,190.6,-96.79,90.0,top
J3,190.6,-92.2,90.0,top
J4,190.6,-87.61,90.0,top
J5,190.6,-83.02,90.0,top
J6,190.6,-78.43,90.0,top
J7,190.6,-73.84,90.0,top
J8,190.6,-69.25,90.0,top
L1,140.5,-109.4375,270.0,top
L2,180.2375,-106.4,0.0,top
L3,140.1375,-120.025,0.0,top
L4,155.005025,-91.894975,225.0,top
R10,131.9,-97.175,270.0,top
R11,133.9,-97.175,270.0,top
R12,135.89,-97.175,270.0,top
R13,175.7,-110.975,90.0,top
R14,136.975,-121.1,270.0,top
R15,136.975,-124.3,90.0,top
R16,167.625,-100.2,180.0,top
R17,166.85,-102.625,90.0,top
R18,146.575,-75.9,180.0,top
R19,146.525,-77.800001,180.0,top
R2,167.725,-130.4,180.0,top
R20,146.525,-67.5,180.0,top
R21,146.525,-69.4,180.0,top
R22,146.575,-73.9,180.0,top
R23,146.575,-71.7,180.0,top
R24,151.016637,-77.216637,315.0,top
R3,154.425,-130.3,0.0,top
R4,132.175,-112.0,180.0,top
R5,183.9,-113.275,90.0,top
R6,132.175,-110.5,180.0,top
R7,132.175,-109.0,0.0,top
R8,130.0,-106.175,90.0,top
R9,137.725,-94.0,180.0,top
RR1,128.5,-105.325,270.0,top
SW1,175.0,-133.3,0.0,top
SW2,162.0,-65.999999,90.0,top
U1,162.15,-102.9975,270.0,top
U3,180.290338,-110.44,0.0,top
U4,181.4226,-101.38,0.0,top
U5,135.41,-105.0,180.0,top
U6,139.975,-124.675,0.0,top
U7,160.293161,-83.482501,315.0,top
USB1,161.5,-134.2175,0.0,top
X1,145.178858,-86.873223,45.0,top
X2,150.0,-88.15,0.0,top
